gender,age,education_level,experience_years,screening_score,shortlisted,bias_flag
Female,35,Bachelors,12,60.477049,0,1
Male,45,Bachelors,14,69.522975,0,0
Female,29,Masters,13,62.440436,1,1
Female,24,Bachelors,18,88.948576,0,1
Female,34,High School,5,65.245554,1,1
Male,25,Bachelors,9,59.545597,0,0
Male,22,High School,14,53.196236,0,0
Male,31,Bachelors,19,80.545358,0,0
Male,29,Bachelors,5,78.560959,0,0
Male,44,Masters,9,75.750608,0,0
Male,23,Bachelors,6,61.87121,0,0
Male,47,Masters,16,73.632854,1,0
Female,48,PhD,17,53.270795,0,1
Male,49,High School,16,76.627819,0,0
Female,29,Bachelors,8,69.364272,0,1
Male,23,Bachelors,9,64.565272,0,0
Male,45,Bachelors,9,81.318102,0,0
Male,22,Bachelors,6,71.148524,0,0
Female,32,Masters,15,62.385425,0,1
Female,30,Masters,17,47.530877,0,1
Female,29,Bachelors,5,63.860266,0,1
Female,35,Bachelors,19,53.505647,0,1
Male,28,Masters,0,74.746335,0,0
Female,45,PhD,0,75.704299,0,1
Male,25,Masters,11,72.895202,1,0
Male,31,High School,1,60.991451,1,0
Female,47,Bachelors,3,62.686475,1,1
Female,22,High School,16,61.169165,0,1
Female,44,Bachelors,3,78.785595,1,1
Female,48,High School,10,59.310916,0,1
Female,35,Bachelors,3,51.323218,0,1
Female,26,Bachelors,0,68.586992,1,1
Female,28,High School,6,55.367865,0,1
Female,47,Bachelors,17,59.566456,1,1
Male,25,Bachelors,8,60.71524,1,0
Female,36,Bachelors,2,55.931011,0,1
Female,46,High School,7,56.931499,0,1
Male,38,Bachelors,18,68.716513,1,0
Female,26,Masters,3,54.183106,1,1
Male,25,High School,17,72.882291,0,0
Male,48,High School,19,60.765276,0,0
Female,36,Bachelors,10,49.749742,1,1
Male,33,Masters,13,77.095362,1,0
Male,48,Bachelors,17,76.177502,0,0
Male,25,Bachelors,15,56.923955,0,0
Male,33,Bachelors,2,51.70445,0,0
Female,37,Bachelors,14,50.544969,0,1
Male,38,High School,3,68.71701,1,0
Female,28,Bachelors,4,70.980849,1,1
Male,33,Masters,16,68.472554,1,0
Male,49,Bachelors,6,62.30639,0,0
Male,39,Masters,15,71.485862,1,0
Male,46,Masters,13,68.859839,0,0
Female,23,High School,15,43.281838,0,1
Female,44,Masters,6,43.084988,0,1
Male,28,High School,8,56.518025,0,0
Male,22,Bachelors,3,94.798515,0,0
Female,28,High School,10,70.558102,0,1
Male,47,High School,1,64.062839,0,0
Male,33,Bachelors,11,81.082668,0,0
Male,33,Bachelors,11,64.319437,1,0
Female,21,Bachelors,3,69.68732,0,1
Female,26,Bachelors,17,60.298599,1,1
Female,44,High School,6,54.078841,0,1
Male,39,High School,0,76.798203,1,0
Male,36,Bachelors,12,71.375196,1,0
Female,28,Bachelors,5,65.263486,1,1
Female,48,Masters,5,62.129379,0,1
Female,21,Bachelors,11,58.39269,0,1
Female,47,Masters,7,68.066321,0,1
Male,47,Bachelors,18,95.838068,0,0
Female,36,Bachelors,4,71.375175,0,1
Male,29,Bachelors,17,72.196452,0,0
Female,33,Bachelors,4,54.675817,1,1
Male,31,Bachelors,9,67.992651,0,0
Female,33,Masters,0,47.256929,0,1
Female,45,Bachelors,9,62.814743,1,1
Female,41,Masters,4,46.076089,1,1
Female,30,Masters,11,56.764763,0,1
Male,24,Masters,6,76.703487,1,0
Female,47,Masters,8,56.643256,0,1
Male,26,Bachelors,11,65.07712,0,0
Male,48,Bachelors,0,58.025193,1,0
Male,27,Bachelors,10,82.053267,1,0
Male,25,Bachelors,14,61.667781,1,0
Female,31,Bachelors,1,54.335972,0,1
Male,33,Masters,19,52.082706,1,0
Male,46,Bachelors,6,69.80139,0,0
Male,45,Bachelors,11,66.667051,0,0
Female,39,High School,17,62.109536,0,1
Female,43,Bachelors,2,50.032362,0,1
Female,30,High School,6,65.684422,0,1
Female,30,Masters,10,40.59182,0,1
Male,31,Bachelors,17,69.078225,0,0
Male,41,High School,11,71.154883,0,0
Female,27,High School,5,62.268868,0,1
Male,38,Bachelors,4,71.577549,1,0
Male,24,Bachelors,0,77.886717,0,0
Male,22,Bachelors,11,83.246987,0,0
Female,34,High School,10,58.772042,0,1
Female,33,Bachelors,3,46.871978,0,1
Male,49,Bachelors,17,75.607173,0,0
Female,32,Bachelors,3,57.760235,1,1
Female,27,Bachelors,16,73.776828,1,1
Female,22,Bachelors,1,53.043617,0,1
Female,33,Bachelors,1,47.505988,0,1
Female,34,PhD,11,61.985606,0,1
Male,47,Bachelors,5,52.595822,0,0
Female,37,Bachelors,9,53.2929,0,1
Male,29,High School,15,66.701594,0,0
Male,37,Bachelors,13,72.204723,0,0
Female,28,High School,6,47.467561,0,1
Male,22,Bachelors,18,61.204995,1,0
Male,48,PhD,16,81.569137,1,0
Male,44,Bachelors,8,69.865385,1,0
Female,33,High School,12,69.220547,0,1
Female,23,High School,4,52.212828,0,1
Male,36,Bachelors,4,69.45549,0,0
Female,26,High School,9,61.938645,0,1
Female,39,High School,9,75.681714,1,1
Female,27,Masters,6,56.02264,0,1
Female,30,Bachelors,14,57.122663,0,1
Male,29,Bachelors,6,80.98153,0,0
Male,22,Masters,14,66.201886,1,0
Female,48,High School,2,64.304553,0,1
Female,48,PhD,18,67.097777,0,1
Male,35,Bachelors,9,64.241581,0,0
Male,25,Masters,14,73.404624,0,0
Female,49,Bachelors,2,77.530827,1,1
Male,42,Masters,5,79.21318,0,0
Female,24,PhD,11,63.73022,0,1
Female,40,Bachelors,14,59.512136,0,1
Male,24,PhD,5,63.956817,0,0
Male,38,Bachelors,12,60.118141,1,0
Female,24,Bachelors,18,73.550882,0,1
Female,47,Bachelors,2,71.089324,1,1
Male,37,Bachelors,7,63.428855,1,0
Female,32,High School,7,65.277343,1,1
Male,42,Bachelors,19,71.113265,0,0
Female,37,Bachelors,14,70.771596,0,1
Male,30,Masters,3,73.828012,0,0
Male,42,Masters,18,69.771812,0,0
Male,21,Bachelors,2,64.583144,0,0
Female,42,Bachelors,12,64.049704,0,1
Female,46,Bachelors,7,54.647138,0,1
Male,44,High School,15,72.206849,0,0
Female,47,High School,12,60.194091,0,1
Male,38,Bachelors,2,66.275081,0,0
Male,38,Bachelors,15,60.272592,1,0
Female,34,PhD,8,62.996326,0,1
Female,35,Bachelors,13,60.105291,0,1
Male,49,Bachelors,12,87.874209,1,0
Female,32,Bachelors,6,46.056172,0,1
Female,24,High School,14,67.427856,0,1
Male,47,Bachelors,6,69.173535,0,0
Male,23,Bachelors,5,90.997584,0,0
Female,40,Bachelors,1,65.443321,0,1
Male,49,Bachelors,8,73.246886,0,0
Male,32,PhD,16,69.198976,1,0
Female,27,Masters,4,54.287948,0,1
Male,49,Bachelors,11,73.113928,1,0
Male,31,Bachelors,0,56.176974,1,0
Female,21,Bachelors,9,43.088997,0,1
Female,26,Bachelors,10,66.860348,0,1
Male,35,Bachelors,15,52.378759,0,0
Male,35,High School,13,66.804264,1,0
Female,39,Bachelors,7,49.961085,0,1
Female,31,Bachelors,16,54.015389,0,1
Female,46,Bachelors,17,58.94212,0,1
Female,43,PhD,11,68.514348,1,1
Male,46,Masters,16,82.176336,0,0
Female,22,Masters,13,49.632564,0,1
Female,34,Bachelors,15,55.889267,0,1
Male,22,Masters,13,100.0,0,0
Female,49,High School,8,58.941237,0,1
Male,24,Masters,3,61.177892,1,0
Female,37,High School,10,49.458698,0,1
Female,23,Masters,5,54.156092,0,1
Female,33,Bachelors,14,54.274018,0,1
Male,29,Masters,4,67.656299,1,0
Male,27,Masters,10,69.785734,0,0
Female,35,High School,17,59.681743,0,1
Male,43,Bachelors,12,60.445135,0,0
Male,49,PhD,10,73.69331,0,0
Male,49,Bachelors,13,71.210469,0,0
Male,31,Masters,17,74.965817,0,0
Male,40,Bachelors,18,52.855459,0,0
Male,22,Bachelors,14,71.568442,1,0
Female,35,Bachelors,8,40.048779,0,1
Female,34,Bachelors,7,55.888557,1,1
Male,40,Masters,19,76.579363,1,0
Female,42,Bachelors,0,67.07513,0,1
Female,31,Bachelors,3,60.022082,1,1
Female,47,Bachelors,13,64.074654,0,1
Female,23,Bachelors,1,55.157761,1,1
Male,37,Masters,15,64.908322,0,0
Female,32,PhD,2,88.422742,1,1
Female,44,Bachelors,7,69.301831,1,1
Male,48,Masters,5,58.270161,1,0
Male,49,Masters,15,52.653361,1,0
Female,41,Bachelors,15,51.95798,0,1
Female,35,PhD,6,70.280111,0,1
Female,36,Bachelors,12,62.432209,0,1
Female,25,High School,12,39.150973,0,1
Female,47,Masters,4,56.246055,0,1
Female,40,Bachelors,19,61.945615,0,1
Male,26,Masters,17,45.843326,0,0
Female,39,Masters,14,61.276813,0,1
Female,45,High School,17,48.573917,1,1
Male,25,Masters,1,51.644536,0,0
Male,23,Bachelors,9,86.045076,1,0
Male,47,Bachelors,12,59.423978,0,0
Male,21,Bachelors,17,63.327153,1,0
Female,46,Masters,14,51.0428,0,1
Female,48,High School,11,58.11062,0,1
Female,26,Bachelors,14,78.31749,0,1
Female,35,Bachelors,12,45.765056,0,1
Female,22,Masters,17,57.50847,0,1
Female,49,Bachelors,14,61.256221,0,1
Male,23,High School,10,61.312083,0,0
Female,37,Bachelors,18,54.292188,1,1
Male,45,Bachelors,2,75.944998,0,0
Male,44,Masters,6,62.44295,0,0
Female,32,Bachelors,13,54.715778,1,1
Male,38,Bachelors,13,65.686461,1,0
Female,35,PhD,12,55.866593,1,1
Male,32,High School,11,72.431517,0,0
Female,36,PhD,8,63.91993,0,1
Male,47,Bachelors,0,89.375543,0,0
Female,28,Masters,18,32.005384,0,1
Female,48,Bachelors,10,59.764038,0,1
Female,34,High School,18,46.149344,0,1
Female,45,Masters,17,56.555086,1,1
Female,37,Masters,11,69.344735,0,1
Male,49,Masters,0,81.977925,1,0
Male,41,High School,18,82.447146,0,0
Male,28,Masters,19,82.352925,1,0
Female,35,Masters,16,54.422586,1,1
Male,47,Bachelors,4,83.985303,1,0
Female,34,Masters,2,75.609912,0,1
Female,38,Masters,1,58.035725,0,1
Male,40,Bachelors,2,81.772366,1,0
Male,27,High School,7,70.41237,0,0
Female,23,Bachelors,15,72.315493,0,1
Male,49,High School,5,68.383368,0,0
Female,32,Bachelors,12,51.135927,0,1
Female,41,Bachelors,15,47.784263,0,1
Female,44,High School,15,56.802286,0,1
Female,48,Bachelors,2,59.888776,0,1
Female,46,High School,12,51.370015,0,1
Male,23,Masters,13,67.498915,0,0
Male,40,Masters,7,64.734507,0,0
Female,34,High School,11,46.895532,0,1
Female,35,PhD,7,70.674212,1,1
Male,45,Bachelors,8,82.119036,1,0
Male,34,Bachelors,0,80.314327,1,0
Female,27,High School,5,61.012546,1,1
Male,37,Bachelors,18,69.776172,0,0
Female,32,Masters,10,47.495433,1,1
Male,40,Masters,10,74.146329,0,0
Female,24,High School,12,62.633653,0,1
Male,29,High School,10,98.439474,0,0
Female,26,Bachelors,17,67.228272,1,1
Male,36,Bachelors,14,73.152449,0,0
Male,45,Bachelors,0,69.583907,0,0
Female,48,Bachelors,6,66.289494,1,1
Male,42,Masters,12,60.842613,0,0
Female,42,Masters,11,67.907192,0,1
Male,41,Bachelors,17,59.128565,0,0
Female,41,Masters,18,54.163809,0,1
Male,22,Bachelors,14,51.618205,0,0
Female,44,Bachelors,7,68.048023,0,1
Male,28,Bachelors,18,72.49929,0,0
Female,31,Bachelors,9,50.815258,0,1
Male,33,PhD,6,60.708612,0,0
Female,37,Bachelors,17,73.218117,0,1
Female,28,Bachelors,15,54.864032,0,1
Female,41,Bachelors,19,48.545326,0,1
Male,38,High School,5,89.21933,1,0
Female,38,Masters,8,50.311314,0,1
Male,34,Bachelors,12,81.386171,1,0
Female,35,Bachelors,7,48.723401,1,1
Male,26,Bachelors,15,66.450538,0,0
Female,31,Bachelors,12,64.712326,1,1
Male,33,High School,12,69.421631,0,0
Male,45,Bachelors,16,72.43763,1,0
Female,21,Bachelors,19,51.504832,0,1
Male,48,Masters,4,54.022038,1,0
Male,26,Masters,16,84.655764,1,0
Female,29,Masters,8,55.320184,0,1
Male,28,Bachelors,1,72.890125,0,0
Male,31,Bachelors,17,77.019575,0,0
Male,42,High School,8,73.087582,1,0
Female,39,Masters,5,53.897131,1,1
Male,44,Bachelors,10,81.59765,1,0
Female,29,Bachelors,5,63.795984,0,1
Male,37,Bachelors,5,71.987737,1,0
Male,32,High School,12,71.755848,1,0
Male,45,Bachelors,10,86.822623,1,0
Female,34,High School,13,49.082449,0,1
Male,35,Masters,1,74.152558,1,0
Male,36,Bachelors,7,64.713705,0,0
Female,42,High School,2,38.460763,1,1
Male,42,Bachelors,2,50.372655,0,0
Female,48,High School,0,48.433269,0,1
Female,40,Bachelors,18,54.832509,0,1
Male,21,Masters,17,91.729497,0,0
Female,30,High School,16,65.293841,0,1
Male,28,Masters,19,77.88343,0,0
Female,38,High School,12,49.688892,0,1
Female,48,Bachelors,2,61.772768,0,1
Male,21,Masters,0,93.06153,0,0
Female,22,Bachelors,3,46.745845,0,1
Female,21,High School,12,61.29815,0,1
Female,21,Bachelors,16,73.668346,0,1
Female,29,Bachelors,10,67.477336,0,1
Female,33,Masters,1,75.800492,0,1
Male,21,Bachelors,15,72.128653,1,0
Female,33,Masters,1,65.877583,0,1
Male,40,Masters,18,71.097744,1,0
Female,46,Bachelors,18,65.571905,1,1
Male,42,Masters,15,60.847936,0,0
Male,27,Bachelors,18,77.923484,1,0
Female,22,PhD,8,60.086316,1,1
Female,26,High School,0,57.765913,0,1
Female,27,Bachelors,9,74.261482,0,1
Male,46,Bachelors,18,67.346146,1,0
Female,34,Bachelors,0,68.598777,0,1
Male,46,Bachelors,1,83.072786,0,0
Male,38,Masters,15,78.555444,0,0
Male,35,High School,11,60.349003,0,0
Female,22,High School,7,62.522729,0,1
Female,30,Masters,17,78.575645,0,1
Male,43,Bachelors,1,51.814465,1,0
Male,32,PhD,12,68.123415,0,0
Female,37,Masters,5,68.833314,0,1
Male,28,PhD,5,68.846794,0,0
Female,31,Masters,8,66.199095,0,1
Male,49,Bachelors,15,84.09191,0,0
Female,23,High School,10,60.108262,0,1
Male,47,Masters,6,75.089905,0,0
Female,26,Bachelors,9,58.143953,0,1
Male,29,High School,9,72.978059,0,0
Female,26,Bachelors,19,77.685992,1,1
Female,29,PhD,17,59.332544,0,1
Male,27,Bachelors,19,66.46846,0,0
Male,29,Bachelors,8,80.417542,0,0
Female,38,Bachelors,14,51.317279,0,1
Male,32,Bachelors,3,63.852785,1,0
Female,28,Bachelors,7,55.352655,0,1
Male,28,Bachelors,8,67.441255,0,0
Female,38,High School,12,56.408325,0,1
Female,48,Masters,8,68.775342,1,1
Female,40,Bachelors,3,55.782796,0,1
Female,35,Masters,16,66.138767,0,1
Female,47,Masters,15,68.92256,0,1
Female,27,Bachelors,14,51.919888,0,1
Male,31,Bachelors,2,78.42706,0,0
Male,40,Bachelors,19,79.334185,0,0
Male,36,Masters,4,52.390636,0,0
Female,24,Bachelors,4,64.751808,0,1
Female,26,Bachelors,19,56.71183,0,1
Female,46,Bachelors,14,70.095046,0,1
Female,42,Bachelors,17,54.672794,0,1
Male,46,High School,14,56.605168,1,0
Male,23,Bachelors,1,69.701832,0,0
Female,29,Masters,12,52.267914,1,1
Male,48,Bachelors,3,78.495853,0,0
Male,30,Bachelors,9,61.913875,0,0
Female,34,Bachelors,12,58.691476,0,1
Male,31,Masters,9,85.458104,0,0
Female,38,High School,8,68.365325,0,1
Male,42,Masters,7,74.778392,0,0
Female,32,Bachelors,2,59.429297,0,1
Female,43,Bachelors,15,62.091622,0,1
Female,32,High School,13,68.377755,0,1
Female,33,High School,8,51.823886,0,1
Male,45,Bachelors,10,78.513372,0,0
Female,33,Bachelors,2,47.794932,0,1
Female,39,Masters,4,64.480709,0,1
Female,46,High School,9,47.106517,0,1
Male,39,Bachelors,12,89.627962,0,0
Female,43,Bachelors,3,65.276868,0,1
Male,34,High School,12,54.439747,1,0
Female,24,High School,11,56.135621,0,1
Male,33,Bachelors,4,64.78578,0,0
Male,28,Bachelors,9,63.602731,0,0
Female,49,Bachelors,8,60.373233,1,1
Male,43,Bachelors,19,60.720063,0,0
Female,41,Bachelors,6,67.676919,0,1
Female,43,High School,1,64.275424,0,1
Female,39,Bachelors,6,63.889254,0,1
Male,32,PhD,7,69.804955,0,0
Male,38,Bachelors,6,76.598183,0,0
Female,26,Bachelors,13,67.280027,1,1
Female,38,Bachelors,18,66.078439,0,1
Male,39,Masters,4,56.88126,1,0
Female,42,Masters,17,53.964034,1,1
Female,25,Bachelors,19,53.5435,0,1
Female,44,PhD,11,42.22621,0,1
Male,29,High School,16,72.240031,0,0
Male,47,High School,12,84.110052,0,0
Male,23,Masters,1,82.516904,1,0
Female,48,Masters,12,65.220416,0,1
Female,30,High School,6,66.823402,0,1
Female,39,Bachelors,9,83.113189,1,1
Male,23,High School,5,78.438638,0,0
Female,49,Bachelors,2,70.317735,1,1
Female,49,Masters,2,46.109396,1,1
Female,42,Bachelors,17,72.032828,0,1
Female,35,Bachelors,10,61.697398,0,1
Male,21,Bachelors,19,69.202157,1,0
Male,27,High School,4,66.723619,1,0
Female,32,Bachelors,18,52.552861,0,1
Male,37,Bachelors,18,82.567769,0,0
Male,41,PhD,14,69.716411,0,0
Female,46,Masters,15,55.203611,0,1
Female,49,High School,8,48.55534,0,1
Male,44,Masters,3,71.705988,0,0
Female,40,Masters,14,53.976521,0,1
Male,25,Masters,11,64.122444,0,0
Female,24,Bachelors,2,44.852316,0,1
Male,48,Bachelors,13,79.593574,1,0
Female,32,Bachelors,16,56.949443,0,1
Male,40,High School,18,59.147613,0,0
Male,48,Bachelors,5,67.287639,0,0
Male,44,Bachelors,3,75.491321,0,0
Female,38,Bachelors,6,59.770808,1,1
Male,37,Masters,18,71.909937,0,0
Male,39,Bachelors,16,70.425483,1,0
Female,29,High School,15,47.745056,0,1
Female,24,PhD,14,69.349249,1,1
Male,46,Masters,7,52.917538,0,0
Male,41,Masters,18,74.615366,0,0
Female,22,PhD,7,63.608633,0,1
Female,24,Bachelors,17,59.715202,1,1
Female,22,PhD,15,64.837789,1,1
Female,35,High School,19,58.952629,1,1
Female,22,Bachelors,18,65.410579,0,1
Male,24,Bachelors,9,79.929225,1,0
Female,26,High School,16,48.945972,0,1
Male,27,High School,12,76.739649,0,0
Male,30,Bachelors,12,86.92398,1,0
Male,39,Masters,6,72.645653,1,0
Female,39,Bachelors,9,52.747011,0,1
Male,46,High School,1,92.632328,0,0
Male,42,Masters,3,70.887062,0,0
Female,49,Bachelors,5,61.470256,1,1
Male,32,Bachelors,17,72.523742,0,0
Male,23,Bachelors,5,74.478633,0,0
Female,33,Bachelors,16,58.024246,1,1
Male,38,Bachelors,13,71.899909,1,0
Male,28,Masters,10,79.521837,0,0
Male,41,Bachelors,18,66.26599,1,0
Female,35,Bachelors,1,54.850365,0,1
Female,21,Masters,2,56.238325,0,1
Female,23,Masters,10,49.983061,0,1
Male,46,High School,5,63.171605,0,0
Male,28,High School,13,62.764201,0,0
Female,24,High School,18,59.391665,0,1
Male,36,Bachelors,15,78.361457,0,0
Male,43,Bachelors,6,84.537141,0,0
Female,30,High School,7,60.180858,0,1
Female,32,PhD,18,62.869597,0,1
Male,34,Bachelors,19,72.433938,0,0
